"","TransactionID","ClassDesc","DeptDesc","Brand","Units"
"95567",-1124060539,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"96076",-1124029286,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"96082",-1127722104,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"96164",-1124061459,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"97047",-1123963414,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"97173",-1127556948,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"98072",-1124061292,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",3
"98311",-1124029338,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"100518",-1124061316,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",3
"100742",-1127533120,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"101469",-1127561732,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"102186",-1127546488,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"103147",-1127618998,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"103245",-1127546173,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"103355",-1124029301,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"104026",-1127609088,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"104745",-1127561638,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"105300",-1127533655,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"105753",-1127609665,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"105933",-1127600623,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"106969",-1127609672,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"108994",-1127600760,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"109000",-1127601049,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"109088",-1127707774,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"111078",-1127600953,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"111657",-1127589226,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"112353",-1127546600,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"112884",-1127617788,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"113096",-1127621040,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"113332",-1127561746,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"113586",-1127713466,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
